Date,Start Time,End Time,Field (Alias),Field,Venue,Event Type,Identifier,Organization,Secondary Organization,Schedule,Category,Home Team,Away Team,Practice Teams,Practice Type,Timeslot Type,Timeslot Sub Type,Timeslot Shared Leagues,Timeslot Category Restrictions,Comments,Notes
2025-06-09,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-09,20:15,22:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-10,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-10,20:15,22:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-11,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-11,20:15,22:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-12,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-12,20:15,22:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-13,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-13,20:15,22:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-14,09:00,11:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-06-14,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female",,
2025-06-15,10:00,12:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-06-15,12:00,14:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-06-15,14:00,16:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
2025-06-15,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female",,
2025-06-16,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
