Date,Heure de début,Heure de fin,Terrain (alias),Terrain,Lieu,Type d'événement,Identifiant,Organisation,Organisation secondaire,Horaire,Catégorie,Équipe locale,Équipe visiteuse,Équipes de pratique,Type de pratique,Type de plage horaire,Sous-type de plage horaire,Ligues partagées (plage horaire),Restrictions de catégorie (plage horaire),Commentaires,Notes
2025-08-08,20:15,22:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Semaine,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-09,08:30,10:30,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Samedi,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-09,10:30,12:30,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Samedi,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-09,12:30,14:30,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Samedi,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-09,14:30,16:30,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Samedi,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-10,08:15,10:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Dimanches,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-10,10:15,12:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Dimanches,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-10,12:15,14:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Dimanches,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-10,14:15,16:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Dimanches,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-10,16:15,18:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Dimanches,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-10,18:15,20:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Dimanches,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
