Date,Heure de début,Heure de fin,Terrain (alias),Terrain,Lieu,Type d'événement,Identifiant,Organisation,Organisation secondaire,Horaire,Catégorie,Équipe locale,Équipe visiteuse,Équipes de pratique,Type de pratique,Type de plage horaire,Sous-type de plage horaire,Ligues partagées (plage horaire),Restrictions de catégorie (plage horaire),Commentaires,Notes
2025-06-01,08:00,10:00,,Allen,Parc Allen,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-01,10:00,12:00,,Allen,Parc Allen,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,Pratique,,,,,
2025-06-01,12:00,14:00,,Allen,Parc Allen,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-06-01,15:30,17:30,,Allen,Parc Allen,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-06-01,18:15,20:15,,Allen,Parc Allen,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-06-01,20:15,22:15,,Allen,Parc Allen,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-06-02,18:15,20:15,,Allen,Parc Allen,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"18U/21UF A Mixte, 18U A Mixte, 18U/21UF AA Mixte, U18 Masculin",,
2025-06-02,20:15,22:15,,Allen,Parc Allen,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"18U/21UF A Mixte, 18U A Mixte, 18U/21UF AA Mixte, U18 Masculin",,
2025-06-03,18:15,20:15,,Allen,Parc Allen,Plage horaire,,ASSOCIATION DE BASEBALL AMATEUR D'AYLMER,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-06-03,20:30,22:30,,Allen,Parc Allen,Plage horaire,,ASSOCIATION BASEBALL ÉLITE OUTAOUAIS,,,,,,,,,,,,,
